ticket_id,created_at,region,tower_id,issue_type,priority,status,resolved_at
TKT00065,2025-01-03 16:00:00,Mumbai,T033,Network Outage,High,Resolved,2025-01-05 06:00:00
TKT00066,2025-01-03 17:00:00,Bangalore,T049,Call Drop,Medium,In Progress,
TKT00067,2025-01-03 18:00:00,Mumbai,T029,No Service,Critical,Resolved,2025-01-04 09:00:00
TKT00068,2025-01-03 19:00:00,Mumbai,T063,Slow Internet,Low,Resolved,2025-01-05 17:00:00
TKT00069,2025-01-03 20:00:00,Bangalore,T022,Network Outage,Medium,Resolved,2025-01-04 11:00:00
TKT00070,2025-01-03 21:00:00,Bangalore,T026,No Service,Critical,Resolved,2025-01-05 19:00:00
TKT00071,2025-01-03 22:00:00,Pune,T028,High Latency,Low,Open,
TKT00072,2025-01-03 23:00:00,Hyderabad,T085,High Latency,High,Resolved,2025-01-05 00:00:00
TKT00073,2025-01-04 00:00:00,Hyderabad,T049,High Latency,Medium,Resolved,2025-01-04 21:00:00
TKT00074,2025-01-04 01:00:00,Mumbai,T071,High Latency,Critical,Resolved,2025-01-05 01:00:00
TKT00075,2025-01-04 02:00:00,Hyderabad,T081,Slow Internet,Low,Resolved,2025-01-04 07:00:00
TKT00076,2025-01-04 03:00:00,Mumbai,T084,Network Outage,Low,In Progress,
TKT00077,2025-01-04 04:00:00,Pune,T049,Call Drop,High,In Progress,
TKT00078,2025-01-04 05:00:00,Bangalore,T020,Slow Internet,Critical,Resolved,2025-01-04 11:00:00
TKT00079,2025-01-04 06:00:00,Bangalore,T086,Slow Internet,High,Open,
TKT00080,2025-01-04 07:00:00,Bangalore,T092,Call Drop,High,Resolved,2025-01-06 02:00:00
TKT00081,2025-01-04 08:00:00,Hyderabad,T063,Call Drop,Critical,Resolved,2025-01-06 08:00:00
TKT00082,2025-01-04 09:00:00,Pune,T061,High Latency,Critical,Resolved,2025-01-06 05:00:00
TKT00083,2025-01-04 10:00:00,Hyderabad,T049,Slow Internet,Critical,Resolved,2025-01-06 09:00:00
TKT00084,2025-01-04 11:00:00,Hyderabad,T071,No Service,Medium,Resolved,2025-01-05 10:00:00
TKT00085,2025-01-04 12:00:00,Pune,T001,Call Drop,Critical,In Progress,
TKT00086,2025-01-04 13:00:00,Pune,T096,Call Drop,Low,Resolved,2025-01-04 17:00:00
TKT00087,2025-01-04 14:00:00,Pune,T013,Network Outage,High,Open,
TKT00088,2025-01-04 15:00:00,Pune,T094,No Service,Medium,Resolved,2025-01-05 18:00:00
TKT00089,2025-01-04 16:00:00,Bangalore,T087,No Service,Critical,Open,
TKT00090,2025-01-04 17:00:00,Delhi,T051,Call Drop,Medium,Resolved,2025-01-05 11:00:00
TKT00091,2025-01-04 18:00:00,Delhi,T056,High Latency,Critical,Resolved,2025-01-05 15:00:00
TKT00092,2025-01-04 19:00:00,Pune,T083,Network Outage,Medium,Resolved,2025-01-05 23:00:00
TKT00093,2025-01-04 20:00:00,Delhi,T062,No Service,High,Open,
TKT00094,2025-01-04 21:00:00,Delhi,T032,Call Drop,High,Resolved,2025-01-06 08:00:00
TKT00095,2025-01-04 22:00:00,Pune,T030,No Service,Low,Open,
TKT00096,2025-01-04 23:00:00,Delhi,T029,Network Outage,Low,Resolved,2025-01-05 21:00:00
TKT00097,2025-01-05 00:00:00,Hyderabad,T049,Network Outage,Critical,Resolved,2025-01-06 16:00:00
TKT00098,2025-01-05 01:00:00,Mumbai,T045,Slow Internet,High,Open,
TKT00099,2025-01-05 02:00:00,Mumbai,T093,Call Drop,Medium,Resolved,2025-01-06 01:00:00
TKT00100,2025-01-05 03:00:00,Pune,T030,Network Outage,Medium,Resolved,2025-01-05 06:00:00
TKT00101,2025-01-05 04:00:00,Bangalore,T016,Slow Internet,Medium,Resolved,2025-01-06 20:00:00
TKT00102,2025-01-05 05:00:00,Pune,T040,Slow Internet,Low,Open,
TKT00103,2025-01-05 06:00:00,Bangalore,T019,No Service,Medium,Resolved,2025-01-05 16:00:00
TKT00104,2025-01-05 07:00:00,Mumbai,T018,No Service,Low,In Progress,
TKT00105,2025-01-05 08:00:00,Pune,T001,Slow Internet,Low,Resolved,2025-01-06 09:00:00
TKT00106,2025-01-05 09:00:00,Hyderabad,T078,No Service,Critical,In Progress,
TKT00107,2025-01-05 10:00:00,Delhi,T047,Network Outage,Medium,In Progress,
TKT00108,2025-01-05 11:00:00,Bangalore,T066,High Latency,Medium,Resolved,2025-01-05 19:00:00
TKT00109,2025-01-05 12:00:00,Delhi,T092,Network Outage,High,Resolved,2025-01-05 23:00:00
TKT00110,2025-01-05 13:00:00,Delhi,T094,Slow Internet,Critical,Resolved,2025-01-05 18:00:00
TKT00111,2025-01-05 14:00:00,Pune,T038,Slow Internet,High,Resolved,2025-01-07 11:00:00
TKT00112,2025-01-05 15:00:00,Delhi,T051,Network Outage,Critical,Resolved,2025-01-07 04:00:00
TKT00113,2025-01-05 16:00:00,Hyderabad,T063,No Service,Medium,Resolved,2025-01-07 13:00:00
TKT00114,2025-01-05 17:00:00,Delhi,T004,No Service,Low,Resolved,2025-01-07 07:00:00
TKT00115,2025-01-05 18:00:00,Pune,T001,Slow Internet,Low,Resolved,2025-01-06 23:00:00
TKT00116,2025-01-05 19:00:00,Hyderabad,T008,Call Drop,Low,Resolved,2025-01-06 00:00:00
TKT00117,2025-01-05 20:00:00,Mumbai,T029,No Service,Low,Resolved,2025-01-06 05:00:00
TKT00118,2025-01-05 21:00:00,Delhi,T055,Network Outage,Low,In Progress,
TKT00119,2025-01-05 22:00:00,Pune,T003,No Service,High,Resolved,2025-01-07 22:00:00
TKT00120,2025-01-05 23:00:00,Mumbai,T032,Network Outage,Critical,Resolved,2025-01-06 01:00:00
TKT00121,2025-01-06 00:00:00,Mumbai,T010,Slow Internet,Medium,Resolved,2025-01-06 01:00:00
TKT00122,2025-01-06 01:00:00,Bangalore,T074,No Service,High,Open,
TKT00123,2025-01-06 02:00:00,Hyderabad,T083,Network Outage,Critical,In Progress,
TKT00124,2025-01-06 03:00:00,Delhi,T034,Slow Internet,Low,Open,
TKT00125,2025-01-06 04:00:00,Pune,T097,Call Drop,Critical,In Progress,
TKT00126,2025-01-06 05:00:00,Bangalore,T087,Network Outage,Critical,Resolved,2025-01-07 21:00:00
TKT00127,2025-01-06 06:00:00,Hyderabad,T055,Call Drop,Low,Open,
TKT00128,2025-01-06 07:00:00,Bangalore,T092,Call Drop,Low,Resolved,2025-01-07 13:00:00
TKT00129,2025-01-06 08:00:00,Hyderabad,T032,High Latency,Low,Resolved,2025-01-06 19:00:00
TKT00130,2025-01-06 09:00:00,Hyderabad,T050,No Service,Medium,In Progress,
TKT00131,2025-01-06 10:00:00,Delhi,T007,Network Outage,Low,Resolved,2025-01-07 14:00:00
TKT00132,2025-01-06 11:00:00,Hyderabad,T093,Call Drop,Medium,Resolved,2025-01-08 07:00:00
TKT00133,2025-01-06 12:00:00,Bangalore,T008,High Latency,Low,Resolved,2025-01-07 00:00:00
TKT00134,2025-01-06 13:00:00,Hyderabad,T065,Slow Internet,Medium,Resolved,2025-01-08 04:00:00
TKT00135,2025-01-06 14:00:00,Delhi,T057,Network Outage,Critical,Resolved,2025-01-07 16:00:00
TKT00136,2025-01-06 15:00:00,Delhi,T067,Call Drop,High,Resolved,2025-01-07 04:00:00
TKT00137,2025-01-06 16:00:00,Bangalore,T088,No Service,Critical,Resolved,2025-01-07 00:00:00
TKT00138,2025-01-06 17:00:00,Mumbai,T087,High Latency,Critical,Resolved,2025-01-07 21:00:00
TKT00139,2025-01-06 18:00:00,Mumbai,T059,Call Drop,Low,Open,
TKT00140,2025-01-06 19:00:00,Hyderabad,T072,No Service,Medium,Resolved,2025-01-08 01:00:00
TKT00141,2025-01-06 20:00:00,Pune,T054,Call Drop,High,Resolved,2025-01-07 05:00:00
TKT00142,2025-01-06 21:00:00,Hyderabad,T067,Network Outage,Low,In Progress,
TKT00143,2025-01-06 22:00:00,Bangalore,T051,Network Outage,Low,Open,
TKT00144,2025-01-06 23:00:00,Bangalore,T097,Network Outage,Low,Resolved,2025-01-08 14:00:00
TKT00145,2025-01-07 00:00:00,Bangalore,T092,High Latency,Critical,Resolved,2025-01-08 07:00:00
TKT00146,2025-01-07 01:00:00,Bangalore,T008,Network Outage,Medium,Open,
TKT00147,2025-01-07 02:00:00,Bangalore,T034,No Service,Medium,Open,
TKT00148,2025-01-07 03:00:00,Delhi,T035,Call Drop,High,Resolved,2025-01-08 00:00:00
TKT00149,2025-01-07 04:00:00,Mumbai,T096,Slow Internet,Medium,Resolved,2025-01-09 03:00:00
TKT00150,2025-01-07 05:00:00,Bangalore,T088,No Service,Medium,Resolved,2025-01-08 15:00:00
TKT00151,2025-01-07 06:00:00,Pune,T078,No Service,Low,Resolved,2025-01-08 13:00:00
TKT00152,2025-01-07 07:00:00,Pune,T032,Network Outage,Low,Resolved,2025-01-08 08:00:00
TKT00153,2025-01-07 08:00:00,Pune,T046,High Latency,Critical,Resolved,2025-01-07 20:00:00
TKT00154,2025-01-07 09:00:00,Pune,T016,Call Drop,Low,Resolved,2025-01-07 10:00:00
TKT00155,2025-01-07 10:00:00,Delhi,T068,High Latency,Low,Resolved,2025-01-08 08:00:00
TKT00156,2025-01-07 11:00:00,Pune,T037,Call Drop,Low,Resolved,2025-01-09 03:00:00
TKT00157,2025-01-07 12:00:00,Bangalore,T054,Call Drop,Low,Open,
TKT00158,2025-01-07 13:00:00,Hyderabad,T085,High Latency,Critical,Resolved,2025-01-09 02:00:00
TKT00159,2025-01-07 14:00:00,Pune,T014,No Service,Low,Resolved,2025-01-09 13:00:00
TKT00160,2025-01-07 15:00:00,Delhi,T095,Call Drop,High,Open,
TKT00161,2025-01-07 16:00:00,Delhi,T055,High Latency,High,Resolved,2025-01-07 17:00:00
TKT00162,2025-01-07 17:00:00,Pune,T048,Call Drop,High,Resolved,2025-01-07 18:00:00
TKT00163,2025-01-07 18:00:00,Hyderabad,T082,Slow Internet,High,Resolved,2025-01-09 12:00:00
TKT00164,2025-01-07 19:00:00,Pune,T007,No Service,Low,Resolved,2025-01-09 13:00:00
TKT00165,2025-01-07 20:00:00,Delhi,T074,Network Outage,High,Open,
TKT00166,2025-01-07 21:00:00,Mumbai,T007,Call Drop,Low,Resolved,2025-01-08 18:00:00
TKT00167,2025-01-07 22:00:00,Bangalore,T033,Slow Internet,Critical,Resolved,2025-01-08 13:00:00
TKT00168,2025-01-07 23:00:00,Delhi,T023,Network Outage,High,Resolved,2025-01-08 16:00:00
TKT00169,2025-01-08 00:00:00,Pune,T085,Network Outage,Medium,Resolved,2025-01-08 22:00:00
TKT00170,2025-01-08 01:00:00,Bangalore,T019,Call Drop,High,In Progress,
TKT00171,2025-01-08 02:00:00,Pune,T019,High Latency,High,Resolved,2025-01-09 16:00:00
TKT00172,2025-01-08 03:00:00,Pune,T036,Call Drop,Low,Resolved,2025-01-09 14:00:00
TKT00173,2025-01-08 04:00:00,Mumbai,T029,Slow Internet,High,Resolved,2025-01-10 01:00:00
TKT00174,2025-01-08 05:00:00,Bangalore,T060,Network Outage,Medium,Resolved,2025-01-08 21:00:00
TKT00175,2025-01-08 06:00:00,Bangalore,T082,Call Drop,Low,Resolved,2025-01-08 14:00:00
TKT00176,2025-01-08 07:00:00,Mumbai,T002,High Latency,Low,Resolved,2025-01-10 06:00:00
TKT00177,2025-01-08 08:00:00,Delhi,T001,Call Drop,Critical,Resolved,2025-01-09 01:00:00
TKT00178,2025-01-08 09:00:00,Pune,T047,No Service,Critical,Resolved,2025-01-09 02:00:00
TKT00179,2025-01-08 10:00:00,Hyderabad,T069,High Latency,High,Resolved,2025-01-09 12:00:00
TKT00180,2025-01-08 11:00:00,Pune,T020,Slow Internet,Critical,Resolved,2025-01-09 00:00:00
TKT00181,2025-01-08 12:00:00,Pune,T011,Network Outage,Critical,Resolved,2025-01-09 05:00:00
TKT00182,2025-01-08 13:00:00,Delhi,T002,Call Drop,Critical,Open,
TKT00183,2025-01-08 14:00:00,Pune,T067,High Latency,Low,Resolved,2025-01-10 04:00:00
TKT00184,2025-01-08 15:00:00,Mumbai,T087,No Service,Low,Resolved,2025-01-09 08:00:00
TKT00185,2025-01-08 16:00:00,Mumbai,T012,High Latency,Low,Resolved,2025-01-10 16:00:00
TKT00186,2025-01-08 17:00:00,Bangalore,T020,No Service,Critical,Resolved,2025-01-09 07:00:00
TKT00187,2025-01-08 18:00:00,Hyderabad,T005,Slow Internet,Low,Resolved,2025-01-10 15:00:00
TKT00188,2025-01-08 19:00:00,Pune,T037,Network Outage,Critical,Resolved,2025-01-09 01:00:00
TKT00189,2025-01-08 20:00:00,Pune,T038,Slow Internet,Low,Resolved,2025-01-10 07:00:00
TKT00190,2025-01-08 21:00:00,Delhi,T094,Call Drop,Low,Resolved,2025-01-10 19:00:00
TKT00191,2025-01-08 22:00:00,Mumbai,T009,High Latency,Medium,Open,
TKT00192,2025-01-08 23:00:00,Hyderabad,T098,No Service,High,Open,
TKT00193,2025-01-09 00:00:00,Bangalore,T053,No Service,Critical,Resolved,2025-01-09 14:00:00
TKT00194,2025-01-09 01:00:00,Mumbai,T044,High Latency,Medium,Resolved,2025-01-11 00:00:00
TKT00195,2025-01-09 02:00:00,Bangalore,T099,High Latency,Low,Resolved,2025-01-09 10:00:00
TKT00196,2025-01-09 03:00:00,Delhi,T086,Call Drop,Critical,Resolved,2025-01-09 18:00:00
TKT00197,2025-01-09 04:00:00,Delhi,T024,Slow Internet,Low,In Progress,
TKT00198,2025-01-09 05:00:00,Pune,T081,No Service,High,Resolved,2025-01-10 08:00:00
TKT00199,2025-01-09 06:00:00,Hyderabad,T074,Call Drop,Medium,Resolved,2025-01-09 19:00:00
TKT00200,2025-01-09 07:00:00,Bangalore,T030,Slow Internet,High,Resolved,2025-01-10 14:00:00
TKT00201,2025-01-09 08:00:00,Mumbai,T059,Call Drop,Medium,Resolved,2025-01-10 19:00:00
TKT00202,2025-01-09 09:00:00,Delhi,T087,No Service,Low,Resolved,2025-01-09 15:00:00
TKT00203,2025-01-09 10:00:00,Pune,T096,High Latency,High,Resolved,2025-01-09 15:00:00
TKT00204,2025-01-09 11:00:00,Pune,T081,High Latency,High,Resolved,2025-01-10 09:00:00
TKT00205,2025-01-09 12:00:00,Bangalore,T081,Slow Internet,Low,Resolved,2025-01-10 11:00:00
TKT00206,2025-01-09 13:00:00,Delhi,T014,Network Outage,High,Resolved,2025-01-10 14:00:00
TKT00207,2025-01-09 14:00:00,Hyderabad,T009,Slow Internet,Critical,Resolved,2025-01-11 00:00:00
TKT00208,2025-01-09 15:00:00,Delhi,T040,Network Outage,Medium,Resolved,2025-01-10 17:00:00
TKT00209,2025-01-09 16:00:00,Bangalore,T066,Call Drop,Medium,Resolved,2025-01-11 15:00:00
TKT00210,2025-01-09 17:00:00,Bangalore,T025,Call Drop,Medium,Resolved,2025-01-09 22:00:00
TKT00211,2025-01-09 18:00:00,Delhi,T073,No Service,Critical,Resolved,2025-01-10 20:00:00
TKT00212,2025-01-09 19:00:00,Bangalore,T022,Network Outage,Medium,Resolved,2025-01-10 15:00:00
TKT00213,2025-01-09 20:00:00,Delhi,T004,No Service,Low,In Progress,
TKT00214,2025-01-09 21:00:00,Mumbai,T026,High Latency,High,Resolved,2025-01-10 03:00:00
TKT00215,2025-01-09 22:00:00,Delhi,T058,Network Outage,Critical,Resolved,2025-01-10 04:00:00
TKT00216,2025-01-09 23:00:00,Delhi,T029,Slow Internet,Medium,Resolved,2025-01-10 17:00:00
TKT00217,2025-01-10 00:00:00,Bangalore,T098,High Latency,Low,Resolved,2025-01-10 04:00:00
TKT00218,2025-01-10 01:00:00,Bangalore,T087,High Latency,High,Resolved,2025-01-10 18:00:00
TKT00219,2025-01-10 02:00:00,Pune,T037,Slow Internet,High,Resolved,2025-01-10 16:00:00
TKT00220,2025-01-10 03:00:00,Pune,T075,High Latency,Critical,In Progress,
TKT00221,2025-01-10 04:00:00,Mumbai,T070,Network Outage,Critical,Resolved,2025-01-10 18:00:00
TKT00222,2025-01-10 05:00:00,Pune,T018,No Service,Critical,Resolved,2025-01-10 18:00:00
TKT00223,2025-01-10 06:00:00,Delhi,T085,High Latency,Low,Resolved,2025-01-10 13:00:00
TKT00224,2025-01-10 07:00:00,Bangalore,T042,Network Outage,Low,Resolved,2025-01-12 03:00:00
TKT00225,2025-01-10 08:00:00,Pune,T100,Call Drop,Critical,Open,
TKT00226,2025-01-10 09:00:00,Pune,T041,Network Outage,Medium,Resolved,2025-01-11 00:00:00
TKT00227,2025-01-10 10:00:00,Mumbai,T038,No Service,High,Resolved,2025-01-11 05:00:00
TKT00228,2025-01-10 11:00:00,Mumbai,T034,Network Outage,High,Open,
TKT00229,2025-01-10 12:00:00,Delhi,T017,Slow Internet,Low,Resolved,2025-01-12 07:00:00
TKT00230,2025-01-10 13:00:00,Bangalore,T037,No Service,High,Resolved,2025-01-12 12:00:00
TKT00231,2025-01-10 14:00:00,Mumbai,T025,Call Drop,Medium,Resolved,2025-01-12 10:00:00
TKT00232,2025-01-10 15:00:00,Pune,T076,Slow Internet,High,Resolved,2025-01-12 02:00:00
TKT00233,2025-01-10 16:00:00,Bangalore,T087,Network Outage,Low,Resolved,2025-01-11 09:00:00
TKT00234,2025-01-10 17:00:00,Bangalore,T086,No Service,Low,Resolved,2025-01-12 04:00:00
TKT00235,2025-01-10 18:00:00,Pune,T085,Call Drop,Medium,Resolved,2025-01-11 13:00:00
TKT00236,2025-01-10 19:00:00,Mumbai,T027,Slow Internet,Medium,Resolved,2025-01-11 15:00:00
TKT00237,2025-01-10 20:00:00,Pune,T057,Call Drop,High,Resolved,2025-01-12 08:00:00
TKT00238,2025-01-10 21:00:00,Bangalore,T031,Network Outage,High,Resolved,2025-01-12 08:00:00
TKT00239,2025-01-10 22:00:00,Hyderabad,T006,Call Drop,Low,Resolved,2025-01-12 06:00:00
TKT00240,2025-01-10 23:00:00,Hyderabad,T091,High Latency,Medium,Resolved,2025-01-12 23:00:00
TKT00241,2025-01-11 00:00:00,Delhi,T040,Slow Internet,Medium,Resolved,2025-01-12 20:00:00
TKT00242,2025-01-11 01:00:00,Pune,T098,Call Drop,Medium,Resolved,2025-01-12 17:00:00
TKT00243,2025-01-11 02:00:00,Pune,T012,Network Outage,High,Resolved,2025-01-12 02:00:00
TKT00244,2025-01-11 03:00:00,Delhi,T053,Network Outage,Medium,Resolved,2025-01-11 20:00:00
TKT00245,2025-01-11 04:00:00,Delhi,T071,Call Drop,Low,In Progress,
TKT00246,2025-01-11 05:00:00,Delhi,T010,Network Outage,Low,Resolved,2025-01-11 12:00:00
TKT00247,2025-01-11 06:00:00,Bangalore,T045,No Service,High,Resolved,2025-01-13 01:00:00
TKT00248,2025-01-11 07:00:00,Pune,T017,No Service,Critical,Resolved,2025-01-11 08:00:00
TKT00249,2025-01-11 08:00:00,Bangalore,T026,No Service,High,Resolved,2025-01-12 19:00:00
TKT00250,2025-01-11 09:00:00,Delhi,T085,High Latency,Critical,Resolved,2025-01-12 17:00:00
TKT00251,2025-01-11 10:00:00,Pune,T092,Call Drop,Medium,Open,
TKT00252,2025-01-11 11:00:00,Bangalore,T062,High Latency,High,Resolved,2025-01-12 23:00:00
TKT00253,2025-01-11 12:00:00,Bangalore,T046,Network Outage,Low,Resolved,2025-01-12 01:00:00
TKT00254,2025-01-11 13:00:00,Delhi,T064,High Latency,Medium,Resolved,2025-01-11 19:00:00
TKT00255,2025-01-11 14:00:00,Pune,T002,Network Outage,Low,Resolved,2025-01-12 04:00:00
TKT00256,2025-01-11 15:00:00,Delhi,T054,Network Outage,Medium,Resolved,2025-01-13 04:00:00
TKT00257,2025-01-11 16:00:00,Pune,T065,Slow Internet,High,Resolved,2025-01-13 16:00:00
TKT00258,2025-01-11 17:00:00,Hyderabad,T051,No Service,Critical,Resolved,2025-01-12 08:00:00
TKT00259,2025-01-11 18:00:00,Mumbai,T053,Network Outage,Medium,Resolved,2025-01-13 17:00:00
TKT00260,2025-01-11 19:00:00,Mumbai,T036,Slow Internet,Critical,Resolved,2025-01-11 23:00:00
TKT00261,2025-01-11 20:00:00,Mumbai,T026,No Service,Medium,Resolved,2025-01-13 12:00:00
TKT00262,2025-01-11 21:00:00,Delhi,T029,Network Outage,Low,In Progress,
TKT00263,2025-01-11 22:00:00,Hyderabad,T021,Network Outage,Low,Resolved,2025-01-12 14:00:00
TKT00264,2025-01-11 23:00:00,Pune,T011,High Latency,Medium,In Progress,
TKT00265,2025-01-12 00:00:00,Bangalore,T040,High Latency,Critical,Resolved,2025-01-13 04:00:00
TKT00266,2025-01-12 01:00:00,Pune,T011,No Service,High,Open,
TKT00267,2025-01-12 02:00:00,Bangalore,T036,Network Outage,High,Open,
TKT00268,2025-01-12 03:00:00,Pune,T059,Call Drop,Low,Resolved,2025-01-12 19:00:00
TKT00269,2025-01-12 04:00:00,Hyderabad,T039,High Latency,High,Resolved,2025-01-12 08:00:00
TKT00270,2025-01-12 05:00:00,Bangalore,T099,No Service,Low,Resolved,2025-01-14 02:00:00
TKT00271,2025-01-12 06:00:00,Delhi,T054,Network Outage,High,Open,
